Arist(s) Name,Track Name
Suzan & Freek , Kwijt
MEAU; Racoon , Dans M'n Ogen Dicht
Jaap Reesema; Beste Zangers , Grijs
FLEMMING , Automatisch
Zoë Tauran; Frenna , Gebruik Me
Matt Simons; Tabitha , Ik Wist Het
Kris Kross Amsterdam; Donnie; Tino Martin , Vanavond (Uit M'n Bol)
Maan , Leven
Antoon , Olivia
MEAU , Blijven Rijden
Thomas Acda; Rolf Sanchez; Kraantje Pappie , Missen Zou
S10; BLØF , Laat Me Los
Thomas Acda; Paul de Munnik; Maan; Typhoon , Als Ik Je Weer Zie
Goldband , Noodgeval
Antoon; Big2 , Leuk
Miss Montreal , Noem Een Dag
Bente , Zeg Maar Niets Meer - Hazes Is De Basis
Maan; De Jeugd Van Tegenwoordig , Naar De Maan
Racoon , Hee Joh Jip
Jaap Reesema , Mijn Kleine Presidentje
Suzan & Freek , Honderd Keer
MEAU , Dat heb jij gedaan
Acda en de Munnik , Het Regent Zonnestralen
Sigourney K; Ronnie Flex , 100 SMSjes
Danique , Papa Mama
FLEMMING , Amsterdam
S10 , De Diepte
Willem & Jan; Waylon; Jan Smit , Tussen Jou en Mij
Jeffrey Heesen , Bailando
Suzan & Freek , Goud
Antoon , Hallo
Snelle , Pizza Met Ananas
Donnie; Mart Hoogkamer , Bieber Van De Kroeg
Kris Kross Amsterdam; Antoon; Sigourney K , Vluchtstrook
Big2 , Eenzame Nacht
Miss Montreal; Beste Zangers , Door De Wind
Tabitha , Hallo Met Mij
BLØF; Geike , Zoutelande (feat. Geike)
Froukje; S10 , Zonder Gezicht
Racoon , Geef Je Hart Niet Zomaar Weg
Metejoor; Babet , 1 Op Een Miljoen
Danny Vera , Roller Coaster
Rolf Sanchez , Más Más Más
Jaap Reesema , Voor Je Van Me Houdt
Snelle; Maan , Blijven Slapen
Numidia , Je Hebt 't (Marokkaanse Bruiloft)
Metejoor; Emma Heesters , Rendez-Vous
Diggy Dex; JW Roy , Treur Niet (Ode Aan Het Leven)
Suzan & Freek , Onderweg Naar Later
Tabitha , Optimist
Counting Crows; BLØF , Holiday In Spain
Racoon , Tijd Verliezen
Ronnie Flex; Esmée Denters , 10 Dagen
Kraantje Pappie , Lang Leve The Life
FLEMMING , Zij Wil Mij
Snelle , In M'n Bloed
Chef'Special , Afraid Of The Dark
BLØF , Harder Dan Ik Hebben Kan
Kenny B , Parijs
Paul de Munnik; MEAU , Stap Maar In Bij Mij
Acda en de Munnik , De Kapitein Deel II
Tino Martin , Zij Weet Het - Studio Versie
Joe Buck , Wat Als
Xerxes , Achterop
Nick & Simon , Pak Maar M'n Hand
Yade Lauren , In De Nacht
Guus Meeuwis , Echte Mannen
Maan , Niks Is Heilig
Emma Heesters , Waar Ga Je Heen
Krezip , Sweet Goodbyes
Chef'Special , Trouble
Donnie; Rene Froger , Bon Gepakt
Davina Michelle; Beste Zangers , Duurt Te Lang
Broederliefde , Jungle
Jeffrey Heesen; Brace , Van Mij Alleen
S10 , Adem Je In
Bilal Wahib; Kraantje Pappie , 1%
Emma Heesters; Rolf Sanchez; Beste Zangers , Pa Olvidarte
Glen Faria , Hoe Weet Je Dat
Miss Montreal , Alles
Kensington , Uncharted
Veldhuis & Kemper , Ik Wou Dat Ik Jou Was
Maan , Zo Kan Het Dus Ook
Suzan & Freek; Snelle , De Overkant
DI-RECT , Soldier On
Tabitha; Paskal Jakobsen , Blijf Nog Even Hier (feat. Paskal Jakobsen)
Guus Meeuwis , Dat Komt Door Jou
Joe Buck , The Way You Take Time
Musketiers; Bertolf; Daniël Lohues; Paskal Jakobsen; Paul de Munnik , Noordeloos
Emma Heesters , Schat Ik Ben Ok
Kris Kross Amsterdam; Nielson , Ik Sta Jou Beter
Josylvio; Esko , Vroeger
Paul Sinha , Eigenlijk Wel
De Jeugd Van Tegenwoordig , Sterrenstof
Nielson , Beauty & The Brains
Van Dik Hout , Stil In Mij
Davina Michelle; Snelle , 17 Miljoen Mensen - Live @538 in Ahoy
Dwight Dissels , Dit Is De Dag
The Opposites , Slapeloze Nachten
Esko; Josylvio; Hansie , Hey Meisje